underlying_symbol,avg_spread,tot_volume,num_opt,analysis_date,expiration,implied_forward,bid_swap_rate,ask_swap_rate,mid_swap_rate,put_delta,call_delta,put_strike,call_strike,put_bid,call_bid,garch_forecast,vol_prem
GIS,0.08,2605,5,2019-02-15,2019-03-15,44.592999999999996,0.207007815824794,0.22481443035679288,0.21609461343263636,0.05282908651873408,0.15411227865724464,40,47.5,0.06,0.16,0.21062363315114843,-0.003615817326354437
GPS,0.06066666666666667,451,15,2019-02-15,2019-03-15,24.989,0.5155756818647038,0.5583343322336436,0.5373804566045564,0.07738469192411779,0.09059182023194584,20,30,0.13,0.11,0.3287669455995407,0.1868087362651631
GSK,0.09,121,5,2019-02-15,2019-03-15,40.515,0.13605749608702192,0.157171857135644,0.14699427695821576,0.10001689354550858,0.16396070957974473,38,42,0.05,0.1,0.18854591730805093,-0.05248842122102901
HAL,0.02333333333333334,1111,6,2019-02-15,2019-03-15,31.494,0.29514474375793837,0.3078632147273793,0.30157103537161484,0.08443574991967162,0.09430609898762399,27.5,35,0.12,0.09,0.3447149439641202,-0.04957020020618186
HUN,0.1,57,7,2019-02-15,2019-03-15,22.87,0.2943627433472114,0.34262103380137027,0.3194046003691994,0.08806067415925334,0.13982994666169246,20,25,0.05,0.1,0.4329406923363487,-0.13857794898913728
INTC,0.022857142857142868,13734,14,2019-02-15,2019-03-15,50.922,0.23003395796230464,0.23950022361630705,0.23481479822198645,0.08631915291522851,0.10726009598000685,46,55,0.15,0.15,0.28350067046984806,-0.053466712507543424
IP,0.06999999999999999,760,5,2019-02-15,2019-03-15,46.196,0.2181279308559437,0.23944732440277997,0.22903582185233112,0.051883202595026434,0.09319866928421133,40,50,0.07,0.09,0.25902794532588236,-0.040900014469938656
IPG,0.0875,835,4,2019-02-15,2019-03-15,22.95625,0.20614287716989296,0.23831984174363707,0.2228129627923315,0.12878122251327628,0.24532841888500911,21,24,0.1,0.15,0.35056092484901563,-0.14441804767912267
IQ,0.04333333333333335,1670,9,2019-02-15,2019-03-15,22.04,0.6305435422286109,0.6824190371666095,0.6569934934737202,0.09316452100511652,0.05149284929155151,17.5,30,0.18,0.07,0.6399297890524246,-0.009386246823813726
JD,0.03631578947368422,5537,19,2019-02-15,2019-03-15,24.374,0.5124120496097017,0.5382283807232076,0.5254787809232364,0.06974545783167518,0.06423051017661319,19,30,0.12,0.06,0.4371660227168472,0.07524602689285448
KKR,0.1,50,5,2019-02-15,2019-03-15,23.474999999999998,0.21914140880364116,0.26125258745872115,0.24111809503469595,0.09771511310085912,0.18157315079806557,21,25,0.05,0.1,0.25229840204751935,-0.03315699324387819
KR,0.04615384615384616,3782,13,2019-02-15,2019-03-15,29.026,0.37835076485957886,0.4054527946814635,0.3921359904324247,0.06718275996029632,0.056327437974502126,24,34,0.1,0.05,0.29614631332912483,0.08220445153045403
