Symbol,ETF Name,Leveraged,Total Assets ($MM),YTD,Avg Volume,Previous Closing Price,1-Day Change
AMJL,Credit Suisse X-Links Monthly Pay 2xLeveraged Alerian MLP Index ETN,2x,$12.38,22.60%,"3,935",$14.07,-0.21%
JPNL,Direxion Daily Japan Bull 3x Shares,3x,$12.36,16.12%,"7,284",$49.35,-0.74%
UPW,ProShares Ultra Utilities,2x,$11.95,1.27%,"7,025",$47.76,0.87%
TPOR,Direxion Daily Transportation Bull 3X Shares,3x,$11.23,19.10%,"20,197",$22.45,4.42%
FLEU,Barclays ETN+ FI Enhanced Europe 50 ETNotes Series B,2x,$10.77,4.16%,"2,525",$113.07,0.45%
SPUU,Direxion Daily S&P 500 Bull 2x Shares,2x,$10.58,11.63%,"18,868",$45.30,1.27%
UBR,ProShares Ultra MSCI Brazil,2x,$9.28,26.21%,"4,048",$79.63,1.21%
GDXX,ProShares Ultra Gold Miners,2x,$9.05,-4.11%,"7,700",$30.31,0.97%
EUFL,Direxion Daily European Financials Bull 2x Shares,2x,$8.05,11.87%,"1,030",$26.74,-0.78%
EWV,UltraShort MSCI Japan ProShares,2x,$7.69,-10.38%,"7,011",$30.80,0.39%
UBOT,"Direxion Robotics, Artificial Intelligence & Automation Index Bull 3X Shares",3x,$6.93,22.55%,"30,111",$8.64,1.65%
SMN,ProShares Ultra Short Basic Materials,2x,$6.91,-10.45%,"7,765",$31.36,-3.30%
PPSC,Portfolio+ S&P Small Cap ET,1.25x,$6.80,10.50%,926,$33.89,0.80%
FIEG,FI Enhanced Global High Yield ETN,2x,$6.69,0.20%,258,$155.81,0.20%
EFO,ProShares Ultra MSCI EAFE,2x,$6.68,8.75%,"1,712",$33.18,0.00%
EZJ,ProShares Ultra MSCI Japan,2x,$6.32,10.00%,"2,269",$31.49,-0.54%
SSG,ProShares Ultra Short Semiconductors,2x,$6.20,-10.76%,"25,559",$18.25,-2.61%
UPV,ProShares Ultra Europe,2x,$6.16,7.74%,"1,521",$40.89,0.54%
HOML,ETRACS Monthly Reset 2xLeveraged ISE Exclusively Homebuilders ETN,2x,$5.98,24.80%,318,$29.84,-0.73%
UGE,ProShares Ultra Consumer Goods,2x,$5.56,8.51%,"1,532",$36.90,1.21%
LBDC,ETRACS 2xLeveraged Long Wells Fargo Business Development Company Index ETN,2x,$5.19,11.08%,"3,287",$12.93,0.08%
REW,ProShares Ultra Short Technology,2x,$4.64,-10.86%,"35,159",$13.13,-1.87%
DPK,Direxion Daily Developed Markets Bear 3X Shares,3x,$4.50,-12.99%,"26,456",$15.81,-0.88%
ZBIO,ProShares UltraPro Short Nasdaq Biotechnology,3x,$4.37,-33.62%,"19,748",$14.59,-2.93%
SDP,ProShares Ultra Short Utilities,2x,$4.21,-1.75%,"4,729",$22.47,-1.01%
MZZ,ProShares UltraShort Midcap 400,2x,$4.00,-14.46%,"13,648",$19.58,-1.56%
SCOM,ProShares UltraPro Short Communication Services Select Sector ETF,3x,$4.00,N/A,N/A,$40.15,0.00%
YCOM,ProShares UltraShort Communication Services Select Sector ETF,2x,$4.00,N/A,N/A,$40.10,0.00%
XCOM,ProShares Ultra Communication Services Select Sector ETF,2x,$4.00,633709.50%,"10,697",$39.93,0.00%
UCOM,ProShares UltraPro Communication Services Select Sector ETF,3x,$4.00,N/A,N/A,$39.88,0.00%
