underlying_symbol,avg_spread,tot_volume,num_opt,implied_forward,bid_swap_rate,ask_swap_rate,mid_swap_rate,put_delta,call_delta,put_bid,call_bid,garch_forecast,vol_prem
EWY,0.09047619047619047,361,21,61.217999999999996,0.21380528358049813,0.24143685027441472,0.24143685027441472,0.09177339233272275,0.07806311152629358,0.2,0.07,0.23661779197702015,-0.02281250839652202
EWZ,0.04242424242424242,71472,33,43.141,0.2946406456859985,0.3104869152901583,0.3104869152901583,0.09728859451782979,0.08649675038710303,0.2,0.1,0.29419463990084005,4.4600578515846534e-4
FXI,0.021249999999999995,14013,24,41.048,0.21080561526795102,0.21890879844753827,0.21890879844753827,0.11222964733940977,0.08497017966384024,0.14,0.08,0.2226963521272685,-0.011890736859317463
GDXJ,0.036000000000000004,381,10,30.336,0.2561705649589983,0.2735797358461295,0.2735797358461295,0.13460465294710122,0.08654421662146905,0.15,0.08,0.33114898479778987,-0.07497841983879155
GIS,0.024,824,5,43.047,0.20707891795303232,0.21543857725322726,0.21543857725322726,0.1321974788533653,0.04171489968172365,0.19,0.03,0.2514248605053565,-0.044345942552324186
GLW,0.04333333333333333,127,15,30.332,0.32777667032864577,0.3527251422984822,0.3527251422984822,0.07934479180709608,0.10285980114965987,0.11,0.11,0.31811265908494296,0.009664011243702808
GM,0.043125,8764,16,38.329,0.30444058322908774,0.32362964908355224,0.32362964908355224,0.11372051109603054,0.08833960403966928,0.22,0.09,0.36024314383036954,-0.0558025606012818
GPS,0.07625000000000001,129,8,25.604999999999997,0.3292584440151123,0.3609419982225545,0.3609419982225545,0.10034886715006386,0.09452513332430157,0.12,0.08,0.3450223357126628,-0.01576389169755049
GSK,0.08333333333333333,735,6,39.03,0.17743933401633658,0.19922433468490752,0.19922433468490752,0.11231925929183695,0.1704155096329174,0.1,0.15,0.1892542818757483,-0.011814947859411729
HAL,0.038750000000000014,932,8,30.936,0.37134292500004956,0.39976592389172844,0.39976592389172844,0.14591180725280162,0.1152734875170468,0.27,0.15,0.35522038362781816,0.016122541372231403
HES,0.08400000000000003,194,10,51.919,0.4028350518306832,0.42089884076236944,0.42089884076236944,0.07564409623841395,0.09374058624987175,0.24,0.19,0.6196178594477206,-0.21678280761703744
HRB,0.09999999999999999,104,6,25.305,0.2422781318911689,0.2827170136273803,0.2827170136273803,0.08051067730922512,0.19931309768731642,0.05,0.15,0.3106749822088395,-0.0683968503176706
INTC,0.03285714285714287,7756,21,48.344,0.3485785703613754,0.3620358696537749,0.3620358696537749,0.10184322277918945,0.05874010156722714,0.27,0.08,0.321349367745622,0.0272292026157534
JCI,0.08124999999999999,70,8,32.315,0.2805617829187421,0.31565327168252183,0.31565327168252183,0.12473194780270347,0.1401042316090595,0.18,0.14,0.24592728662586208,0.03463449629288004
JD,0.03166666666666668,7008,12,22.169,0.4528798491886511,0.4750181723363508,0.4750181723363508,0.07646630661712339,0.1082950958525199,0.11,0.13,0.4988869693857799,-0.046007120197128826
JNPR,0.07999999999999999,30,11,27.982,0.352136893002789,0.38399702576004735,0.38399702576004735,0.08737797049768758,0.09080517036940561,0.12,0.08,0.31098725694700013,0.04114963605578886
KBH,0.06749999999999999,216,8,20.592,0.3447231672800761,0.38615740512993185,0.38615740512993185,0.12012695331242917,0.12912435741125938,0.11,0.08,0.46758079566190935,-0.12285762838183323
KDP,0.07499999999999998,69,6,26.34,0.22394677012552744,0.25364583043781597,0.25364583043781597,0.12862966801594355,0.09020263681887558,0.1,0.05,0.2681713520136739,-0.044224581888146486
KHC,0.08571428571428569,15811,7,47.17,0.24075247162553792,0.2672616701231483,0.2672616701231483,0.10161575579576798,0.0573629305289603,0.15,0.05,0.23324677411371977,0.007505697511818149
KO,0.02153846153846154,1374,13,47.156,0.17177753789791872,0.17909522420836482,0.17909522420836482,0.11483580085606615,0.07687377216703911,0.15,0.06,0.17595158685102597,-0.0041740489531072456
KR,0.03499999999999999,506,8,28.87,0.24268585667673986,0.2584952915385628,0.2584952915385628,0.09514233900416902,0.07050776505576073,0.1,0.05,0.30556422163953,-0.06287836496279015
KRE,0.08625,1134,16,52.31,0.2237450993922724,0.24726627002240717,0.24726627002240717,0.09540005677859908,0.1154317955540961,0.17,0.12,0.25520530086570165,-0.031460201473429233
LB,0.09000000000000002,294,5,27.055,0.3823791866071503,0.42348290088894947,0.42348290088894947,0.08227401123847256,0.05935174944132382,0.1,0.05,0.5073919679163801,-0.12501278130922977
LEN,0.09166666666666667,5710,12,44.781,0.32524844927480995,0.3681383334012602,0.3681383334012602,0.07396481716307002,0.10858555679141879,0.13,0.18,0.41806132249453154,-0.09281287321972159
LNG,0.0981818181818182,5721,11,64.049,0.30548243542663855,0.32788611891514413,0.32788611891514413,0.12726151717328194,0.06162880167392282,0.39,0.07,0.36123317289389684,-0.05575073746725828
LVS,0.09647058823529411,315,17,57.104,0.3743445444141926,0.4008560574297096,0.4008560574297096,0.10577271365477703,0.0980229315058313,0.35,0.2,0.4168646136660488,-0.042520069251856196
M,0.03599999999999999,4558,15,24.771,0.3710099485869314,0.3960952381116223,0.3960952381116223,0.07739668710567127,0.11461432350315842,0.1,0.11,0.5403104660447062,-0.1693005174577748
MDLZ,0.042666666666666665,165,15,43.134,0.2186997240258347,0.23870028222769396,0.23870028222769396,0.08855568613897125,0.0733493789860779,0.12,0.07,0.19402910445635496,0.024670619569479746
MET,0.04285714285714283,451,7,44.833,0.27141719648898194,0.2914076176626797,0.2914076176626797,0.11121768367149465,0.18175420844503531,0.22,0.24,0.27744701176206904,-0.006029815273087102
MGM,0.05,4877,12,27.788999999999998,0.37280748780658884,0.3997687934665614,0.3997687934665614,0.10958482225509236,0.08589759653751877,0.17,0.07,0.42686841104677087,-0.054060923240182024
MIC,0.09999999999999998,259,5,41.41,0.224501471809719,0.2586339393738465,0.2586339393738465,0.11297934117905262,0.11407233974408398,0.15,0.1,0.3421162090980727,-0.11761473728835373
MO,0.06692307692307692,1387,13,47.153999999999996,0.26949964451705166,0.2932918246689176,0.2932918246689176,0.11830599348992721,0.06722328660089028,0.22,0.07,0.18911538331944716,0.0803842611976045
MS,0.08055555555555555,18064,18,42.343,0.2608989035249224,0.2956018717741966,0.2956018717741966,0.104161322673614,0.12155073931771537,0.17,0.14,0.34144761781105976,-0.08054871428613736
MT,0.059090909090909104,149,11,22.168,0.38559856622496985,0.4131452038486354,0.4131452038486354,0.105912324096465,0.12939568311728777,0.13,0.12,0.4098465693694939,-0.024248003144524022
MU,0.030740740740740746,21643,27,33.935,0.47941023565835394,0.4981895477295972,0.4981895477295972,0.09680303781148925,0.10262857325544283,0.24,0.19,0.5166661316811431,-0.037255896022789114
NEM,0.03307692307692307,1373,13,31.676000000000002,0.2706730671353597,0.289547542608507,0.289547542608507,0.07856303508301554,0.11086224992264126,0.09,0.12,0.40304180335352685,-0.13236873621816714
NOV,0.0746153846153846,150,13,29.818,0.36037477659597417,0.3918565079290176,0.3918565079290176,0.11895279615318799,0.10517545633792441,0.18,0.12,0.35537806608902317,0.0049967105069509965
OHI,0.09999999999999999,187,10,37.71,0.21164014685615642,0.2343872125380507,0.2343872125380507,0.09828268585692401,0.15842866583576526,0.1,0.15,0.2613296858716512,-0.04968953901549475
ORCL,0.03428571428571428,1127,14,48.682,0.2031514697782126,0.2140270380305961,0.2140270380305961,0.0801958001078924,0.06062602230543018,0.12,0.05,0.23713559928507028,-0.03398412950685767
OZK,0.09166666666666667,709,6,27.64,0.5104155636528412,0.5743001261715297,0.5743001261715297,0.1221402678282828,0.07084389432472038,0.3,0.1,0.3297102134134625,0.18070535023937873
PFE,0.055384615384615386,2054,13,42.264,0.20446202187871768,0.2286166519358931,0.2286166519358931,0.08074257668611373,0.11287500517018195,0.1,0.08,0.22994195102331633,-0.02547992914459865
PHM,0.08818181818181818,444,11,26.872,0.333583130646962,0.3791964944601975,0.3791964944601975,0.08872977828080664,0.1261988765201547,0.11,0.11,0.3581395147571069,-0.024556384110144935
PPL,0.09999999999999999,4518,4,29.95,0.16268044214067257,0.18756235274029004,0.18756235274029004,0.14456737869327907,0.24245219653198702,0.1,0.15,0.2584397215643282,-0.09575927942365564
